row_number;Identifiant_de_l_etablissement;Nom_etablissement
3632;0081173G;Pôle scolaire primaire de TAGNON
3633;0089999A;DSDEN - Direction des services départementaux de l'éducation nationale des Ardennes
3634;0090001C;Collège Mario Beulaygue
3635;0090002D;Lycée général et technologique Gabriel Fauré
3636;0090003E;Lycée polyvalent Jean Durroux
3637;0090006H;Lycée polyvalent Joseph-Marie Jacquard
3638;0090007J;Collège Victor Hugo
3639;0090010M;Collège André Saint-Paul
3640;0090012P;Collège Gaston Fébus
3641;0090013R;Lycée polyvalent de Mirepoix
3642;0090015T;Lycée polyvalent Pyrène
3643;0090018W;Lycée général et technologique du Couserans
3644;0090019X;Lycée professionnel Aristide Bergès
3645;0090020Y;Lycée professionnel François Camel
3646;0090022A;Lycée agricole de Pamiers
3647;0090023B;Collège du Girbet
3648;0090024C;Lycée professionnel Dr Philippe Tissié
3649;0090025D;Collège Jules Palmade
3650;0090032L;Centre d'information et d'orientation de Foix
3651;0090033M;Circonscription d'inspection du 1er degré de Foix-Haute Ariège et Pyrénées Cathares
3652;0090035P;Circonscription d'inspection du 1er degré de Saint Lizier- Ariège Ouest
3653;0090036R;Lycée général privé Notre-Dame
3654;0090037S;Collège Jean XXIII
3655;0090038T;Collège du Sacré-Coeur
3656;0090045A;Lycée polyvalent privé Les Jacobins
3657;0090052H;Circonscription d'inspection du 1er degré de Foix-Pays de Foix - ASH
3658;0090056M;Collège Joseph-Paul Rambaud
3659;0090060S;Ecole primaire Laborie
3660;0090065X;Ecole primaire de Loulié
3661;0090067Z;Ecole primaire
3662;0090068A;Ecole élémentaire Herminia-Muñoz-Puigsech
3663;0090073F;Ecole élémentaire
3664;0090074G;Ecole primaire
3665;0090075H;Ecole primaire publique
3666;0090077K;Ecole maternelle
3667;0090080N;Ecole primaire
3668;0090087W;Ecole primaire
3669;0090090Z;Ecole primaire
3670;0090091A;Ecole primaire
3671;0090093C;Ecole primaire
3672;0090096F;Ecole élémentaire
3673;0090102M;Ecole primaire
3674;0090107T;Ecole maternelle
3675;0090109V;Ecole maternelle publique Banat
3676;0090112Y;Ecole primaire
3677;0090114A;Ecole primaire
3678;0090115B;Ecole primaire
3679;0090118E;Ecole élémentaire
3680;0090124L;Ecole primaire groupe scolaire Mercadier
3681;0090138B;DITEP SESSAD LA TOUR DU CRIEU
3682;0090143G;Ecole élémentaire BENAGUES
3683;0090146K;Ecole primaire
3684;0090148M;Ecole maternelle BEZAC
3685;0090150P;Ecole élémentaire
3686;0090153T;Ecole primaire
3687;0090155V;Ecole élémentaire
3688;0090158Y;Ecole primaire
3689;0090159Z;Ecole élémentaire
3690;0090160A;Ecole primaire
3691;0090161B;Ecole élémentaire
3692;0090162C;Ecole primaire
3693;0090166G;Ecole primaire
3694;0090170L;Ecole élémentaire
3695;0090172N;Ecole primaire
3696;0090173P;Ecole élémentaire
3697;0090184B;Ecole primaire Cadirac
3698;0090192K;Ecole maternelle
3699;0090194M;Ecole maternelle
3700;0090195N;ECOLE PRIMAIRE DU MERIDIC
3701;0090196P;Ecole primaire
3702;0090197R;Ecole primaire
3703;0090198S;Ecole élémentaire
3704;0090201V;Ecole primaire
3705;0090202W;Ecole primaire
3706;0090205Z;Ecole primaire ESCOSSE
3707;0090207B;Ecole primaire
3708;0090209D;Ecole primaire
3709;0090210E;Ecole primaire
3710;0090211F;Ecole primaire publique Simone Veil
3711;0090212G;Ecole élémentaire Groupe 1 Lucien Goron
3712;0090214J;Ecole maternelle Parmentier
3713;0090219P;Ecole primaire Nelson Mandela  Madiba
3714;0090222T;Ecole primaire Le Cardié
3715;0090225W;Ecole primaire
3716;0090226X;Ecole primaire
3717;0090229A;Ecole élémentaire
3718;0090235G;Ecole élémentaire publique
3719;0090244S;Ecole élémentaire
3720;0090250Y;Ecole élémentaire Groupe 2 Joliot-Curie
3721;0090251Z;Ecole maternelle Joliot-Curie
3722;0090252A;Ecole primaire
3723;0090254C;Ecole maternelle Les Avelines
3724;0090259H;Ecole élémentaire Groupe 2 George Sand
3725;0090260J;Ecole élémentaire Groupe 1 Lamartine
3726;0090263M;Ecole primaire
3727;0090270V;Ecole maternelle
3728;0090272X;Ecole élémentaire
3729;0090276B;Ecole élémentaire
3730;0090280F;Ecole élémentaire Amplaing
3731;0090287N;Ecole primaire
3732;0090295X;Ecole primaire
3733;0090299B;Ecole primaire
3734;0090302E;Ecole élémentaire Victor Hugo
3735;0090304G;Ecole maternelle Marcel Pagnol
3736;0090307K;Ecole primaire
3737;0090309M;Ecole élémentaire
3738;0090312R;Ecole élémentaire Jean Jaurès
3739;0090313S;Ecole maternelle Jean Jaurès
3740;0090315U;Ecole primaire MONTAUT
3741;0090321A;Ecole élémentaire
3742;0090323C;E.P.PU IRENEE CROS MONTGAILHARD
3743;0090336S;Ecole maternelle
3744;0090343Z;Ecole primaire
3745;0090345B;Ecole primaire
3746;0090347D;Ecole primaire
3747;0090348E;Ecole élémentaire
3748;0090349F;Ecole élémentaire
3749;0090351H;Ecole maternelle Les Condamines
3750;0090352J;Ecole élémentaire Les Canonges
3751;0090354L;Ecole maternelle Gabriel Fauré
3752;0090355M;Ecole primaire Les Carmes
3753;0090357P;Ecole élémentaire Henri Cazalé
3754;0090359S;Ecole élémentaire de Lestang
3755;0090361U;ECOLE MATERNELLE MARCEL PAGNOL
3756;0090368B;Ecole primaire publique
3757;0090373G;Ecole primaire
3758;0090376K;Ecole primaire publique Alain Fauré
3759;0090377L;Ecole élémentaire
3760;0090383T;Ecole élémentaire publique Pierre et Marie Curie
3761;0090384U;Ecole maternelle Charles Perrault
3762;0090386W;Ecole primaire
3763;0090387X;Ecole primaire
3764;0090388Y;Ecole élémentaire
3765;0090389Z;Ecole maternelle
3766;0090393D;Ecole primaire
3767;0090396G;Ecole primaire
3768;0090401M;Ecole élémentaire
3769;0090404R;Ecole primaire
3770;0090406T;Ecole élémentaire Le Pradelet
3771;0090408V;Ecole maternelle Le Pradelet
3772;0090412Z;Ecole élémentaire
3773;0090414B;Ecole élémentaire
3774;0090417E;Ecole élémentaire
3775;0090423L;Ecole primaire
3776;0090426P;Ecole primaire Groupe 1 Paul Delpech
3777;0090429T;Ecole primaire
3778;0090430U;Ecole élémentaire
3779;0090431V;Ecole primaire
3780;0090432W;Ecole primaire
3781;0090433X;Ecole primaire
3782;0090441F;Ecole élémentaire
3783;0090442G;Ecole elementaitre
3784;0090445K;Ecole primaire
3785;0090446L;Ecole élémentaire
3786;0090448N;Ecole élémentaire St Alary
3787;0090449P;Ecole élémentaire Henri Maurel
3788;0090450R;Ecole maternelle Guynemer
3789;0090453U;Ecole primaire Groupe de Lédar
3790;0090459A;Ecole élémentaire
3791;0090460B;Ecole élémentaire SAINT-JEAN-DU-FALGA
3792;0090465G;Ecole primaire
3793;0090468K;Ecole élémentaire
3794;0090469L;Ecole élémentaire
3795;0090473R;Ecole maternelle
3796;0090474S;Ecole maternelle
3797;0090475T;Ecole élémentaire
3798;0090477V;Ecole primaire
3799;0090478W;Collège Lakanal
3800;0090479X;Section d'enseignement général et professionnel adapté du Collège de Mirepoix
3801;0090481Z;Établissement régional d'enseignement adapté Guy Villeroux
3802;0090483B;Ecole maternelle SAINT-JEAN-DU-FALGA
3803;0090487F;Ecole primaire
3804;0090490J;Collège Louis Pasteur
3805;0090491K;INSTITUT MEDICO EDUCATIF LES ISARDS EYCHEIL
3806;0090492L;INSTITUT MEDICO EDUCATIF DE LA VERGNIERE L'HERM
3807;0090493M;INSTITUT MEDICO EDUCATIF LES HIRONDELLES SAINT-      JEAN-DU-FALGA
3808;0090503Y;Ecole primaire BONNAC
3809;0090509E;Ecole elementaire
3810;0090517N;ADELE ESQUIROL MICHOLET
3811;0090518P;Ecole primaire
3812;0090526Y;Ecole primaire privée Jeanne d'Arc
3813;0090531D;Ecole primaire privée Jeanne d'Arc
3814;0090533F;Ecole primaire privée Notre-Dame
3815;0090534G;Ecole primaire privée Jean XXIII
3816;0090536J;Ecole primaire privée Sacré Coeur
3817;0090538L;Ecole primaire
3818;0090540N;Ecole primaire
3819;0090541P;Ecole primaire Groupe Paul Bert
3820;0090543S;Section d'enseignement professionnel du lycée polyvalent Pyrène
3821;0090546V;Collège du Sabarthès
3822;0090547W;Ecole maternelle
3823;0090550Z;INSTITUT MEDICO EDUCATIF SAINT-JACQUES LERAN
3824;0090551A;Ecole primaire Roland Andry
3825;0090573Z;Collège de Mirepoix
3826;0090574A;Collège Mont Valier
3827;0090578E;Ecole maternelle
3828;0090591U;Collège Notre-Dame
3829;0090616W;Ecole primaire publique
3830;0090621B;Ecole élémentaire
3831;0090624E;Ecole maternelle
3832;0090625F;Ecole élémentaire
3833;0090626G;Ecole élémentaire
3834;0090627H;Ecole primaire
3835;0090633P;Ecole primaire privée Saint-Maurice
3836;0090635S;Ecole maternelle publique
3837;0090654M;Section d'enseignement général et professionnel adapté du Collège Mont Valier
3838;0090659T;Ecole primaire privée La Calandréta
3839;0090662W;Ecole élémentaire
3840;0090663X;DITEP EYCHEIL - SAINT-GIRONS
3841;0090681S;Collège privé hors contrat Sainte-Thérèse
3842;0090684V;Ecole élémentaire privée Chant'Arize Steiner Waldorf
3843;0090685W;Ecole élémentaire privée Sainte-Thérèse
3844;0090686X;Section d'enseignement général et technologique du Lycée professionnel privé Les Jacobins
3845;0090688Z;Section d'enseignement général et technologique du Lycée professionnel Jean Durroux
3846;0090691C;Section d'enseignement professionnel du Lycée polyvalent Mirepoix
3847;0090692D;ECOLE PRIVEE CALANDRETA DETH COSERANS
3848;0090693E;Ecole primaire privée hors contrat protestante Terre Courage
3849;0090695G;Ecole primaire privée hors contrat Ecole pleine nature
3850;0090699L;Collège privé hors contrat Pleine Nature
3851;0090700M;Collège privé hors contrat Chantarize
3852;0090703R;Lycée Général Privé Hors Contrat Pleine Nature
3853;0099999V;Direction des services départementaux de l'éducation nationale de l'Ariège
3854;0100003Z;Lycée Polyvalent Gaston Bachelard
3855;0100004A;Lycée professionnel du Val Moré
3856;0100005B;Collège Paul Portier
3857;0100007D;Collège Julien Regnier
3858;0100008E;Collège Amadis Jamyn
3859;0100009F;Collège Albert Camus
3860;0100010G;Collège Eugène Belgrand
3861;0100011H;Collège Jean Moulin
3862;0100013K;Collège des Roises
3863;0100015M;Lycée Fréderic et Irène Joliot-Curie
3864;0100016N;Lycée professionnel Denis Diderot
3865;0100019S;Collège de la Villeneuve
3866;0100022V;Lycée Chrestien de Troyes
3867;0100023W;Lycée Polyvalent Marie de Champagne
3868;0100025Y;Lycée Polyvalent Les Lombards
3869;0100028B;Collège Nicolas Bourbon
3870;0100031E;Collège Beurnonville
3871;0100033G;Collège Charles Delaunay
3872;0100035J;Centre d'information et d'orientation d'état de Troyes
3873;0100038M;Collège Jacobins
3874;0100041R;Circonscription d'inspection du 1er degré de Troyes
3875;0100046W;Lycée Saint-François de Sales
3876;0100047X;Lycée Saint-Bernard
3877;0100051B;Collège Saint-Loup
3878;0100054E;Collège Saint-Joseph
3879;0100055F;Collège Louis Brisson
3880;0100056G;Collège Marguerite Bourgeoys
3881;0100057H;Collège Saint-Pierre en l'Isle
3882;0100058J;Collège Saint-Dominique Savio
3883;0100059K;Lycée La Salle
3884;0100063P;Lycée professionnel Léonie Aviat
3885;0100072Z;Ecole 2D degré Prof.Privée Terrade
3886;0100078F;Lycée professionnel Jeanne Mance
3887;0100083L;Ecole élémentaire Arthur Bureau
3888;0100085N;Ecole primaire Maurice Véchin
3889;0100086P;Ecole maternelle Gambetta
3890;0100089T;Ecole élémentaire
3891;0100092W;Ecole élémentaire François Valory
3892;0100093X;Ecole primaire publique de la Tuilerie
3893;0100097B;Ecole primaire Théophile Gautier
3894;0100117Y;Ecole élémentaire Aurillac
3895;0100119A;Ecole maternelle Jean Jaurès
3896;0100125G;Ecole primaire
3897;0100127J;Ecole primaire
3898;0100131N;Ecole primaire
3899;0100136U;Ecole primaire Georges Lapierre
3900;0100138W;Ecole élémentaire Georges Leclerc
3901;0100140Y;Ecole maternelle du 14 Juillet
3902;0100148G;Ecole primaire
3903;0100149H;Ecole élémentaire
3904;0100176M;Ecole élémentaire
3905;0100182U;Ecole élémentaire
3906;0100183V;Ecole élémentaire Jean Sainton
3907;0100184W;Ecole élémentaire
3908;0100191D;Ecole élémentaire Jean Jaurès
3909;0100195H;Ecole maternelle Jean Jaurès
3910;0100197K;Ecole élémentaire
3911;0100201P;Ecole primaire
3912;0100202R;Ecole primaire groupe scolaire de la Vallée de l'Arce
3913;0100203S;Ecole élémentaire
3914;0100208X;Ecole maternelle
3915;0100213C;Ecole primaire
3916;0100216F;Ecole élémentaire
3917;0100219J;Ecole élémentaire
3918;0100225R;Ecole élémentaire
3919;0100231X;Ecole primaire
3920;0100233Z;Ecole élémentaire
3921;0100246N;Ecole primaire Michel MERCUZOT
3922;0100251U;Ecole primaire
3923;0100259C;Ecole primaire
3924;0100260D;Ecole élémentaire
3925;0100263G;Ecole primaire groupe scolaire l'Orée d'Othe
3926;0100265J;Ecole primaire Lucien Vuillemin
3927;0100274U;Ecole primaire
3928;0100278Y;Ecole primaire
3929;0100281B;Ecole élémentaire
3930;0100282C;Ecole élémentaire
3931;0100285F;Ecole primaire publique de Jessains
3932;0100286G;Ecole primaire groupe scolaire George Lasnier
3933;0100297U;Ecole élémentaire
3934;0100298V;Ecole primaire
3935;0100300X;Ecole primaire groupe scolaire Paul Verlaine
3936;0100311J;Ecole élémentaire publique de Longsols
3937;0100316P;Ecole primaire
3938;0100317R;Ecole primaire
3939;0100320U;Ecole Primaire Bernard Laval
3940;0100327B;Ecole primaire
3941;0100330E;Ecole primaire
3942;0100335K;Ecole élémentaire
3943;0100338N;Ecole primaire
3944;0100339P;Ecole primaire
3945;0100341S;Ecole primaire publique
3946;0100346X;Ecole élémentaire
3947;0100347Y;Ecole élémentaire les Gaillots
3948;0100349A;Ecole élémentaire Fernande Moustard
3949;0100353E;Institut Médico-éducatif de Montceaux  Les Vaudes
3950;0100354F;Ecole élémentaire
3951;0100357J;Ecole élémentaire
3952;0100358K;Ecole primaire
3953;0100360M;Ecole élémentaire
3954;0100365T;Ecole primaire
3955;0100366U;Ecole primaire
3956;0100368W;Ecole élémentaire
3957;0100370Y;Ecole primaire Henri Chantavoine
3958;0100375D;Ecole élémentaire Saint-Exupéry
3959;0100377F;Ecole primaire publique Gustave Flaubert
3960;0100378G;Ecole primaire Jean de la Fontaine
3961;0100383M;Ecole primaire
3962;0100386R;Ecole primaire Victor Vasarely
3963;0100391W;Ecole primaire
3964;0100402H;Ecole primaire groupe scolaire Stendhal
3965;0100410S;Ecole élémentaire de Pont Ste Marie
3966;0100411T;Ecole primaire
3967;0100428L;Ecole primaire groupe scolaire de la région de Ramerupt
3968;0100430N;Ecole élémentaire
3969;0100437W;Ecole élémentaire
3970;0100441A;Ecole élémentaire Gambetta
3971;0100443C;Ecole maternelle Gambetta
3972;0100447G;Ecole primaire Romain Rolland
3973;0100449J;Ecole primaire Faubourg de Lion
3974;0100451L;Ecole primaire Mignonnette
3975;0100452M;Ecole primaire Fernand Vigneron
3976;0100454P;Ecole maternelle les Gaillots
3977;0100459V;Ecole primaire Auguste Renoir
3978;0100463Z;Ecole primaire
3979;0100464A;Ecole primaire
3980;0100468E;Ecole primaire Jean Monnet
3981;0100471H;Ecole élémentaire
3982;0100472J;Ecole primaire
3983;0100474L;Ecole primaire Fernand Ganne
3984;0100479S;Ecole primaire
3985;0100485Y;Ecole primaire Maurice Beaugrand
3986;0100490D;Ecole primaire publique de l'Essor
3987;0100491E;Ecole primaire
3988;0100495J;Groupe scolaire Jules Ferry
3989;0100496K;Ecole primaire
3990;0100499N;Ecole primaire
3991;0100502S;Ecole maternelle Raymond Berniolle
3992;0100503T;Ecole maternelle Lucie Aubrac
3993;0100509Z;Ecole élémentaire Georges Guingouin
3994;0100510A;Ecole maternelle Georges Guingouin
3995;0100511B;Ecole primaire
3996;0100515F;Ecole primaire groupe scolaire Paul Pasquier
3997;0100516G;Ecole primaire
3998;0100518J;Ecole élémentaire
3999;0100521M;Ecole primaire
4000;0100524R;Ecole élémentaire
4001;0100528V;Ecole primaire
4002;0100529W;Ecole primaire
4003;0100531Y;Ecole primaire
4004;0100537E;Ecole primaire Paul Bert
4005;0100538F;Ecole maternelle Arnaud
4006;0100546P;Ecole élémentaire d'application Jacques-Yves Cousteau
4007;0100547R;Ecole maternelle Jacques-Yves Cousteau
4008;0100555Z;Ecole élémentaire Diderot
4009;0100559D;Ecole primaire Jules Ferry
4010;0100562G;Ecole élémentaire Jacques de Létin
4011;0100563H;Ecole maternelle Jacques de Létin
4012;0100566L;Ecole élémentaire Jean Jaurès
4013;0100567M;Ecole primaire 14 Juillet
4014;0100573U;Ecole maternelle Auguste Millard
4015;0100574V;Ecole élémentaire Auguste Millard - Kléber
4016;0100578Z;Ecole maternelle Pasteur
4017;0100599X;Ecole élémentaire
4018;0100604C;Ecole primaire
4019;0100607F;Ecole élémentaire
4020;0100610J;Ecole Primaire Pierre et Marie Curie
4021;0100615P;Ecole élémentaire les Templiers
4022;0100618T;Ecole primaire
4023;0100622X;Ecole élémentaire
4024;0100626B;Ecole primaire
4025;0100628D;Ecole Primaire groupe scolaire de la Noxe
4026;0100647Z;Ecole élémentaire
4027;0100650C;Ecole primaire
4028;0100656J;Ecole élémentaire Paul Maitrot
4029;0100657K;Ecole maternelle Paul Maitrot
4030;0100664T;Collège Paul Langevin
4031;0100665U;Collège de la Voie Châtelaine
4032;0100667W;Institut Médico-éducatif Gai Soleil
4033;0100668X;Section d'enseignement général et professionnel adapté du Collège Marie Curie
4034;0100670Z;Ecole maternelle Marcel Pagnol
4035;0100671A;Ecole élémentaire Marcel Pagnol
4036;0100673C;Ecole élémentaire Jules Ferry
4037;0100674D;Ecole maternelle Georges Charpak
4038;0100675E;Ecole élémentaire Georges Charpak
4039;0100678H;Ecole maternelle de Pont Ste Marie
4040;0100679J;Ecole maternelle Voltaire
4041;0100687T;Lycée forestier de Crogny
4042;0100689V;Ecole maternelle Jean Monnet
4043;0100690W;Groupe Scolaire primaire Simone Veil
4044;0100691X;Ecole maternelle
4045;0100716Z;Ecole élémentaire Jean Moulin
4046;0100721E;Ecole primaire
4047;0100725J;Ecole primaire publique de Ervy le Chatel
4048;0100726K;Ecole primaire
4049;0100727L;Ecole primaire le Grand Pré Vert
4050;0100731R;Ecole élémentaire
4051;0100734U;Lycée agricole privé Sainte-Maure
4052;0100739Z;Ecole primaire
4053;0100740A;Ecole primaire
4054;0100742C;Ecole primaire Charles Chevalier
4055;0100745F;Collège Henri Breton
4056;0100747H;Ecole primaire privée Sainte Thérèse
4057;0100748J;Ecole primaire privée Henri Breton
4058;0100750L;Ecole primaire privée Saint Loup
4059;0100754R;Ecole primaire privée Louis Brisson
4060;0100755S;Ecole primaire privée la Salle
4061;0100756T;Ecole primaire privée Saint Pierre
4062;0100757U;Ecole primaire privée Saint François de Sales
4063;0100759W;Ecole primaire privée Sainte Jule
4064;0100761Y;Ecole primaire privée Saint Dominique Savio
4065;0100762Z;Ecole primaire privée Jeanne d'Arc
4066;0100763A;Ecole primaire privée Sainte Marie
4067;0100764B;Ecole élémentaire privée Saint Bernard
4068;0100765C;Collège Max Hutin
4069;0100767E;Ecole primaire privée Sainte Anne
4070;0100769G;Ecole maternelle Bartholdi
4071;0100776P;Ecole élémentaire
4072;0100777R;Ecole primaire les Trois Plumes
4073;0100786A;Collège Jean Jaurès
4074;0100787B;Collège Paul Langevin
4075;0100794J;Ecole primaire Robespierre
4076;0100795K;Ecole maternelle Jean Moulin
4077;0100798N;Ecole élémentaire Jean Moulin
4078;0100800R;Ecole élémentaire Tauxelles
4079;0100802T;Ecole maternelle
4080;0100806X;Collège d'Othe et Vanne
4081;0100807Y;Collège Pierre Brossolette
4082;0100808Z;Section d'enseignement général et professionnel adapté du Collège Le Noyer Marchand
4083;0100812D;Ecole primaire
4084;0100816H;Ecole primaire
4085;0100817J;Ecole maternelle
4086;0100818K;Ecole Primaire Jean Macé
4087;0100820M;Circonscription d'inspection du 1er degré de Bar-sur-Seine
4088;0100823R;Section d'enseignement général et professionnel adapté du Collège Paul Portier
4089;0100826U;Ecole primaire Teihard de Chardin
4090;0100828W;Ecole primaire
4091;0100829X;Ecole maternelle Saint-Exupéry
4092;0100833B;Ecole Primaire Robin Noir
4093;0100834C;Ecole élémentaire Lucie Aubrac
4094;0100836E;Ecole Maternelle
4095;0100838G;Institut Médico-éducatif  Le Verger Fleuri
4096;0100839H;Institut médico-pédagogique Chantejoie
4097;0100842L;Institut Médico-éducatif  L'Eveil
4098;0100844N;Ecole primaire
4099;0100846R;Ecole maternelle
4100;0100850V;Ecole maternelle les Templiers
4101;0100853Y;Ecole maternelle Jean de la Fontaine
4102;0100855A;Ecole maternelle
4103;0100859E;Ecole primaire publique
4104;0100860F;Ecole primaire
4105;0100864K;Ecole maternelle Jean Sainton
4106;0100865L;Ecole primaire
4107;0100868P;Ecole primaire
4108;0100873V;Ecole primaire
4109;0100879B;Ecole primaire
4110;0100882E;Ecole primaire Blossières
4111;0100883F;Ecole primaire Paradis
4112;0100884G;Ecole maternelle République
4113;0100891P;Lycée des Cordeliers
4114;0100901A;Section d'enseignement général et professionnel adapté du Collège Max Hutin
4115;0100902B;Collège Gaston Bachelard
4116;0100904D;Section d'enseignement général et professionnel adapté du Collège Julien Regnier
4117;0100905E;Collège le Noyer Marchand
4118;0100909J;Ecole primaire Montier la Celle
4119;0100910K;Ecole maternelle Simone Weil
4120;0100911L;Ecole primaire
4121;0100914P;Ecole maternelle
4122;0100915R;Ecole maternelle
4123;0100917T;Ecole primaire
4124;0100934L;Ecole maternelle Diderot
4125;0100937P;Ecole primaire
4126;0100939S;Ecole primaire Les Trois Rivières
4127;0100940T;Ecole primaire Preize
4128;0100941U;Ecole primaire de la Rivière
4129;0100942V;Ecole primaire Ferdinand Buisson
4130;0100945Y;Lycée professionnel Gabriel Voisin
4131;0100957L;Ecole primaire publique
4132;0100958M;Ecole élémentaire Jean Monnet
4133;0100961R;Collège Saint-François de Sales
4134;0100962S;Collège Saint-Bernard
4135;0100980L;Ecole primaire Paul Bert
4136;0100983P;Ecole maternelle Louis Dumont
4137;0101004M;Ecole maternelle Elsa Triolet
4138;0101005N;Ecole primaire publique
4139;0101011V;Ecole maternelle
4140;0101012W;Ecole primaire Saint-Exupéry
4141;0101013X;Ecole élémentaire
4142;0101015Z;Lycée professionnel La Salle
4143;0101028N;Lycée Camille Claudel
4144;0101031S;Collège Eureka
4145;0101064C;Ecole primaire
4146;0101076R;Ecole maternelle
4147;0101077S;Ecole primaire
4148;0101084Z;Ecole primaire Centre départemental de l'Enfance
4149;0101086B;Ecole maternelle
4150;0101088D;Ecole maternelle
4151;0101094K;Espérance Sportive Troyes Aube Champagne
4152;0101095L;Ecole primaire
4153;0101096M;Institut Médico-éducatif Les Parpaillols
4154;0101107Z;Institut d'Education sensorielle Déficients visuels
4155;0101108A;Institut d'Education sensorielle Déficients auditifs
4156;0101109B;Institut thérapeutique éducatif et pédagogique l'Eveil
4157;0101110C;Institut thérapeutique éducatif et pédagogique Danton
4158;0101111D;Institut Thérapeutique Educatif et Pédagogique Home Plein Espoir
4159;0101112E;Institut Thérapeutique Educatif et Pédagogique  Montceaux L Vaudes
4160;0101114G;Ecole élémentaire Achille Payeur
4161;0101118L;Ecole Primaire
4162;0101122R;Ecole privée Pigier - BL formations
4163;0101124T;Ecole Primaire privée Blanchefleur-Perceval
4164;0101126V;Ecole primaire
4165;0101130Z;Ecole primaire groupe scolaire de la Lhuîtrelle
4166;0101134D;Section d'Enseignement Professionnel du Lycée Polyvalent Gaston Bachelard
4167;0101135E;Section d'Enseignement Professionnel du Lycée Polyvalent Les Lombards
4168;0101136F;Ecole élémentaire privée Montessori dans l'Aube
4169;0101137G;Section d'Enseignement Professionnel du Lycée polyvalent Marie de Champagne
4170;0101138H;Groupe scolaire Eduk Ludik
4171;0101157D;Section d'enseignement professionnel Edouard Herriot
4172;0101167P;Groupe scolaire international
4173;0109999P;Direction des services départementaux  de l'éducation nationale de l'Aube
4174;0110003U;Collège de l'Alaric
4175;0110004V;Lycée Paul Sabatier
4176;0110007Y;Lycée polyvalent Jules Fil
4177;0110008Z;Section d'enseignement  professionnel, Lycée polyvalent  Jules Fil
4178;0110010B;Collège André Chénier
4179;0110011C;Collège Blaise d'Auriol
4180;0110012D;Lycée polyvalent Germaine Tillion
4181;0110015G;Collège Jean Baptiste Bieules
4182;0110021N;Collège Victor Hugo
4183;0110022P;Lycée Docteur Lacroix
4184;0110023R;Lycée polyvalent Louise Michel
4185;0110025T;Collège Cité
4186;0110026U;Collège Jules Ferry
4187;0110027V;Lycée professionnel Édouard Herriot de Quillan
4188;0110034C;Section d'enseignement  professionnel, Lycée polyvalent Louise Michel
4189;0110036E;Centre d'information et d'orientation de Narbonne
4190;0110037F;Collège Alain
4191;0110039H;Circonscription d'inspection du 1er degré de Castelnaudary
4192;0110044N;Collège privé Jeanne d'Arc
4193;0110045P;Lycée privé polyvalent Saint-Louis
4194;0110049U;Collège privé Institution Sévigné
4195;0110052X;Collège privé Saint-Joseph Limoux
4196;0110063J;Ecole technique privée Beauté et Coiffure
4197;0110067N;Collège les Mailheuls
4198;0110068P;Collège Georges Brassens
4199;0110069R;Ecole primaire
4200;0110072U;Ecole élémentaire
4201;0110073V;Ecole primaire
4202;0110077Z;Ecole primaire
4203;0110079B;Ecole élémentaire
4204;0110080C;Ecole primaire
4205;0110083F;Ecole élémentaire
4206;0110084G;Ecole primaire René Cassin
4207;0110085H;Ecole maternelle
4208;0110098X;Ecole Henri Boutière
4209;0110099Y;Ecole élémentaire Céline Pinaud
4210;0110100Z;Ecole élémentaire
4211;0110104D;Ecole maternelle
4212;0110109J;Ecole primaire
4213;0110113N;Ecole primaire
4214;0110114P;Ecole primaire
4215;0110117T;Ecole primaire
4216;0110120W;Ecole élémentaire
4217;0110123Z;Ecole maternelle
4218;0110125B;Ecole primaire
4219;0110127D;Ecole primaire Marie-Jeanne Estevenon
4220;0110134L;Ecole élémentaire
4221;0110136N;Ecole primaire
4222;0110137P;Ecole primaire
4223;0110142V;Ecole maternelle
4224;0110143W;Ecole primaire
4225;0110144X;Ecole élémentaire
4226;0110147A;Ecole primaire du RPI Canet, Raissac, Villedaigne
4227;0110149C;Ecole élémentaire
4228;0110151E;Ecole élémentaire Isly
4229;0110160P;Ecole élémentaire Jules Ferry
4230;0110161R;Ecole élémentaire Marcel Pagnol
4231;0110165V;Ecole élémentaire les Castors
4232;0110166W;Ecole élémentaire Marcelin Berthelot
4233;0110170A;Ecole primaire les Troubadours
4234;0110173D;Ecole élémentaire la Gravette
4235;0110177H;Ecole maternelle Jules Ferry
4236;0110178J;Ecole maternelle Condorcet
4237;0110179K;Ecole maternelle Marcou
4238;0110180L;Ecole maternelle Fabre d'Eglantine
4239;0110181M;Ecole maternelle les Castors
4240;0110182N;Ecole maternelle la Prade
4241;0110183P;Ecole maternelle Liberté
4242;0110184R;Ecole maternelle Paul Eluard
4243;0110186T;Ecole maternelle Jean Macé
4244;0110189W;Ecole maternelle Le Petit Prince ( La Conte)
4245;0110190X;Ecole primaire Jean Beaubois
4246;0110191Y;Ecole élémentaire Trencavel
4247;0110192Z;Ecole primaire Pierre Paul Riquet
4248;0110195C;Ecole primaire Yvonne Gisclard-Cau Maquens
4249;0110196D;Ecole élémentaire
4250;0110197E;Ecole primaire
4251;0110199G;Ecole primaire
4252;0110201J;Ecole élémentaire Prosper Estieu
4253;0110202K;Ecole élémentaire Alphonse Daudet
4254;0110204M;Ecole élémentaire de l'Est
4255;0110205N;Ecole maternelle Jean Moulin
4256;0110206P;Ecole maternelle le Petit Prince
