row_number;Identifiant_de_l_etablissement;Nom_etablissement
152;0010369W;Ecole primaire
153;0010372Z;Ecole élémentaire
154;0010374B;Ecole primaire Spinosa
155;0010375C;ECOLE DU PRE VERT
156;0010377E;Ecole primaire Antonin Rolland
157;0010378F;Ecole primaire
158;0010380H;Ecole primaire privée de Limerol
159;0010381J;Ecole primaire privée Saint Vincent
160;0010383L;Ecole élémentaire
161;0010384M;Ecole primaire Robert Doisneau
162;0010386P;Ecole primaire
163;0010389T;Ecole primaire
164;0010390U;Ecole primaire
165;0010391V;Ecole primaire
166;0010392W;Ecole primaire Roger Vailland
167;0010400E;Ecole primaire
168;0010401F;Ecole primaire
169;0010404J;Ecole primaire
170;0010406L;ECOLE ELEMENTAIRE PUBLIQUE
171;0010409P;Ecole primaire
172;0010410R;Ecole élémentaire
173;0010411S;Ecole maternelle
174;0010412T;Ecole élémentaire publique d'Outriaz
175;0010415W;Ecole primaire
176;0010416X;Ecole primaire
177;0010418Z;Ecole primaire
178;0010425G;Ecole primaire
179;0010427J;Ecole primaire
180;0010428K;Ecole primaire
181;0010433R;Ecole primaire
182;0010434S;Ecole élémentaire Relevant
183;0010436U;Ecole primaire
184;0010439X;ECOLE ELEMENTAIRE PUBLIQUE
185;0010442A;Ecole maternelle Jules Ferry
186;0010445D;Ecole maternelle Jean Jaurès
187;0010448G;Ecole primaire
188;0010449H;Ecole primaire
189;0010450J;Ecole primaire
190;0010453M;Ecole primaire
191;0010456R;Ecole Jeanne Sabran
192;0010457S;Ecole primaire La Pépinière
193;0010460V;Ecole élémentaire
194;0010462X;Ecole primaire
195;0010463Y;Ecole primaire
196;0010465A;Ecole élémentaire du Vieux Château
197;0010466B;Ecole élémentaire Les Charmettes
198;0010467C;Ecole maternelle Centre
199;0010469E;Ecole primaire
200;0010476M;Ecole primaire
201;0010477N;Ecole primaire
202;0010482U;ECOLE ELEMENTAIRE PUBLIQUE
203;0010485X;Ecole primaire
204;0010487Z;Ecole primaire
205;0010489B;ECOLE ELEMENTAIRE PUBLIQUE
206;0010491D;Ecole élémentaire Alphonse Daudet
207;0010492E;Ecole primaire Saint-Exupéry
208;0010494G;Ecole Maternelle
209;0010496J;Ecole élémentaire L'Orée du Bois
210;0010501P;ECOLE ELEMENTAIRE PUBLIQUE
211;0010505U;ECOLE ELEMENTAIRE BRUNET
212;0010506V;ECOLE MATERNELLE L'ENVOL
213;0010507W;Ecole primaire Victor Duruy
214;0010508X;Ecole primaire
215;0010512B;Ecole primaire
216;0010513C;ECOLE MARLIEN
217;0010514D;ECOLE ELEMENTAIRE PUBLIQUE
218;0010516F;Ecole de Joyeux
219;0010517G;ECOLE DE LOMPNAS
220;0010518H;Ecole maternelle publique du Toison
221;0010520K;Ecole élémentaire Champ de Foire
222;0010521L;Ecole élémentaire Le Ménel
223;0010525R;Ecole élémentaire
224;0010527T;Ecole élémentaire
225;0010528U;ECOLE MATERNELLE PUBLIQUE
226;0010529V;Ecole primaire
227;0010530W;Ecole primaire
228;0010531X;Ecole primaire
229;0010533Z;Ecole primaire
230;0010538E;Ecole primaire
231;0010543K;Ecole primaire Edgar Quinet
232;0010547P;Ecole primaire
233;0010550T;ECOLE ELEMENTAIRE PUBLIQUE
234;0010554X;Ecole primaire
235;0010560D;Ecole primaire georges barrachin
236;0010561E;Ecole élémentaire
237;0010562F;Ecole  A l'Ain Claire
238;0010567L;Ecole primaire
239;0010571R;Ecole élémentaire
240;0010577X;Ecole maternelle
241;0010578Y;Ecole primaire
242;0010590L;Ecole primaire
243;0010591M;Ecole primaire
244;0010592N;Ecole primaire
245;0010600X;ECOLE ELEMENTAIRE PUBLIQUE
246;0010602Z;Ecole primaire
247;0010604B;ECOLE ELEMENTAIRE PUBLIQUE
248;0010605C;Ecole primaire
249;0010606D;Ecole élémentaire Les Charmilles
250;0010607E;Ecole élémentaire Jean Ferrat
251;0010608F;Ecole maternelle
252;0010611J;ECOLE ELEMENTAIRE PUBLIQUE
253;0010613L;Ecole primaire
254;0010614M;Ecole primaire
255;0010615N;Ecole primaire
256;0010616P;ECOLE ELEMENTAIRE PUBLIQUE
257;0010620U;Ecole primaire
258;0010628C;ECOLE ELEMENTAIRE PUBLIQUE
259;0010629D;Ecole primaire
260;0010638N;ECOLE ELEMENTAIRE PUBLIQUE
261;0010642T;Institut médico-éducatif Georges Loiseau
262;0010647Y;Ecole primaire
263;0010652D;ECOLE ELEMENTAIRE PUBLIQUE
264;0010653E;Ecole élémentaire
265;0010654F;Ecole maternelle
266;0010657J;Ecole primaire
267;0010658K;Ecole primaire
268;0010662P;Ecole primaire
269;0010670Y;Ecole primaire
270;0010671Z;Ecole élémentaire
271;0010672A;Ecole élémentaire
272;0010673B;ECOLE PRIMAIRE PUBLIQUE DE CHAVEYRIAT
273;0010675D;Ecole primaire
274;0010681K;Ecole élémentaire
275;0010682L;Ecole maternelle
276;0010684N;ECOLE ELEMENTAIRE PUBLIQUE
277;0010685P;Ecole primaire
278;0010686R;Ecole maternelle
279;0010687S;Ecole élémentaire
280;0010694Z;Ecole primaire
281;0010695A;ECOLE MATERNELLE PUBLIQUE
282;0010696B;Ecole primaire
283;0010702H;ECOLE ELEMENTAIRE PUBLIQUE
284;0010703J;Ecole élémentaire
285;0010709R;Ecole élémentaire
286;0010710S;Ecole primaire
287;0010712U;Ecole primaire
288;0010714W;Ecole élémentaire
289;0010715X;Ecole primaire
290;0010720C;Ecole primaire
291;0010725H;Ecole primaire
292;0010731P;Ecole élémentaire
293;0010732R;Ecole élémentaire
294;0010733S;Ecole élémentaire
295;0010735U;Ecole primaire
296;0010737W;Ecole primaire
297;0010738X;ECOLE PRIMAIRE PUBLIQUE
298;0010741A;Ecole primaire françoise convert
