Nom_etablissement,Type_etablissement,Libelle_departement,latitude,longitude,Restauration,rest_priority_score
"Lycée général, technologique et professionnel agricole Marie Durand",Lycée,Gard,43.82818232,4.43713594,0,0.41037966
Ecole secondaire privée Le Sénévé,École,Gard,43.77110877,4.34753952,0,0.41037966
Lycée agricole Borgo-Marana,Lycée,Haute-Corse,42.5856557,9.4472367,0,0.405196012
Maison Familiale Rurale de Matha,Autre,Charente-Maritime,45.86708692,-0.32238675,0,0.404374656
Maison Familiale Rurale de Saint-Denis-du-Pin,Autre,Charente-Maritime,45.97602378,-0.51402953,0,0.404374656
Maison Familiale Rurale de Chevanceaux - services,Autre,Charente-Maritime,45.30013829,-0.23575956,0,0.404374656
Maison Familiale Rurale de Chevanceaux - forêts,Autre,Charente-Maritime,45.30299437,-0.23326036,0,0.404374656
Maison Familiale Rurale de Pont-l'Abbé,Autre,Charente-Maritime,45.82897339,-0.87558955,0,0.404374656
LEGTA Bel Air,Autre,Vendée,46.46168541,-0.79546699,0,0.404125104
Maison Familiale Rurale de Saint-Gilles-Croix-de-Vie,Autre,Vendée,46.69424419,-1.90847457,0,0.404125104
Maison Familiale Rurale de La Mothe-Achard,Autre,Vendée,46.61842191,-1.66188581,0,0.404125104
Maison Familiale Rurale de Mouilleron-en-Pareds,Autre,Vendée,46.67493047,-0.84797354,0,0.404125104
Maison Familiale Rurale de Saint-Michel-en-l'Herm,Autre,Vendée,46.35434232,-1.25159644,0,0.404125104
Maison Familiale Rurale de Mareuil-sur-Lay-Dissais,Autre,Vendée,46.53814948,-1.223093,0,0.404125104
Maison Familiale Rurale de Venansault,Autre,Vendée,46.6841593,-1.53254948,0,0.404125104
Maison Familiale Rurale de Saint-Fulgent,Autre,Vendée,46.85156014,-1.17076117,0,0.404125104
Maison Familiale Rurale de Saint-Jean-de-Monts,Autre,Vendée,46.79249872,-2.04877464,0,0.404125104
Maison Familiale Rurale de Saint-Florent-des-Bois,Autre,Vendée,46.59259403,-1.31712111,0,0.404125104
Maison Familiale Rurale de Pouzauges,Autre,Vendée,46.78215602,-0.8259218,0,0.404125104
Maison Familiale Rurale de Le Poiré-sur-Vie,Autre,Vendée,46.76869509,-1.51466476,0,0.404125104
Maison Familiale Rurale de Saint-Martin,Autre,Vendée,46.42911476,-0.77553255,0,0.404125104
Maison Familiale Rurale de Vouvant,Autre,Vendée,46.57324999,-0.76630467,0,0.404125104
ECOLE DE PRODUCTION DES ETABLIERES LES TROIS COULEURS,École,Vendée,46.47003169,-0.79589411,0,0.404125104
Maison Familiale Rurale de Hucquelier,Autre,Pas-de-Calais,50.56985528,1.90695059,0,0.403570762
Ecole secondaire privée Saint Jean-Baptiste de La Salle - niveau Collège,École,Pas-de-Calais,50.37339678,2.63956054,0,0.403570762
Maison Familiale Rurale de Marconne,Autre,Pas-de-Calais,50.3580597,2.00829444,0,0.403570762
Lycée d'enseignement général et technologique agricole La Saussaye de Chartres,Lycée,Eure-et-Loir,48.40604221,1.55655996,0,0.403092733
LEGTA La Germinière,Autre,Sarthe,48.00542289,0.13721119,0,0.402663272
Lycée horticole,Lycée,Oise,49.51062621,2.92065967,0,0.401806453
AFASEC Académie de Gouvieux ? Métiers des courses hippiques,Autre,Oise,49.19004922,2.42630024,0,0.401806453
Maison Familiale Rurale de Beaulieu-les-Fontaines,Autre,Oise,49.65897087,2.91033642,0,0.401806453
Campus Agri Corsica 'U Rizzanesi - Sarté',Autre,Corse-du-Sud,41.65185099,8.9792955,0,0.399282246
Lycée général privé Talmudique,Lycée,Savoie,45.69311021,5.89972018,0,0.398344992
Ecole professionnelle privée Centre Technique Hôtel L'Arlequin,École,Savoie,45.50100667,6.06412957,0,0.398344992
APEX2100 INTERNATIONAL SKI ACADEMY,Autre,Savoie,45.46860017,6.90987659,0,0.398344992
Lycée professionnel agricole d'Oloron-Sainte-Marie,Lycée,Pyrénées-Atlantiques,43.16984379,-0.59276268,0,0.3958783
Maison Familiale Rurale de Mont,Autre,Pyrénées-Atlantiques,43.43430226,-0.65113418,0,0.3958783
Lycée professionnel agricole de Moissac,Lycée,Tarn-et-Garonne,44.10240495,1.09548853,0,0.392827077
Agri'pôle Saint-Hilaire du Harcouët,Autre,Manche,48.56913492,-1.09552181,0,0.392517068
Maison Familiale Rurale de Coutances,Autre,Manche,49.06565328,-1.43219685,0,0.392517068
École des courses hippiques AFASEC - Campus de Graignes,École,Manche,49.2380141,-1.20535055,0,0.392517068
Pôle supérieur lycée Saint-Brieuc,Lycée,Côtes-d'Armor,48.51162179,-2.77511967,0,0.390988211
Lycée agricole,Lycée,Côtes-d'Armor,48.30042417,-2.14601957,0,0.390988211
Maison Familiale Rurale d'Ailleville,Autre,Haute-Saône,47.9164887,6.3459191,0,0.390156466
Maison Familiale Rurale de Chargey-lès-Gray,Autre,Haute-Saône,47.48898566,5.57525661,0,0.390156466
Lycée des métiers de l'agriculture du Haut Anjou,Lycée,Mayenne,47.8336409,-0.68208705,0,0.388010126
Maison Familiale Rurale de Craon Oudon,Autre,Mayenne,47.84726835,-0.96034886,0,0.388010126
Maison Familiale Rurale de Trun,Autre,Orne,48.84168808,0.03240907,0,0.385579987
Maison Familiale Rurale de Vimoutiers,Autre,Orne,48.9294942,0.19788404,0,0.385579987
Maison Familiale Rurale de Cerisy-Belle-Etoile,Autre,Orne,48.79653043,-0.62637061,0,0.385579987
Maison Familiale Rurale du Marais poitevin,Autre,Deux-Sèvres,46.30183164,-0.59409832,0,0.385275004
Lycée horticole Gaston Chaissac,Lycée,Deux-Sèvres,46.34061617,-0.47421159,0,0.385275004
Maison Familiale Rurale de Saint-Loup-Lamairé,Autre,Deux-Sèvres,46.78328411,-0.16372388,0,0.385275004
Maison Familiale Rurale de Moncoutant,Autre,Deux-Sèvres,46.7204,-0.59012307,0,0.385275004
Maison Familiale Rurale de Secondigny,Autre,Deux-Sèvres,46.6043953,-0.4003905,0,0.385275004
Maison Familiale Rurale de Vitré,Autre,Deux-Sèvres,46.2808723,-0.1963546,0,0.385275004
Maison Familiale Rurale de Bouillé-Saint-Paul,Autre,Deux-Sèvres,47.05203571,-0.29988955,0,0.385275004
Maison Familiale Rurale de Bras-sur-Meuse,Autre,Meuse,49.2107677,5.37527537,0,0.384974997
Maison Familiale Rurale de Damvillers,Autre,Meuse,49.33965633,5.39763046,0,0.384974997
Maison Familiale Rurale de Commercy,Autre,Meuse,48.76245824,5.58500045,0,0.384974997
Maison Familiale Rurale de Stenay,Autre,Meuse,49.4947403,5.1929257,0,0.384974997
Maison Familiale Rurale de Triac-Lautrait,Autre,Charente,45.69037904,-0.12859613,0,0.384164986
Maison Familiale Rurale de Haute Charente - La Péruse,Autre,Charente,45.88320521,0.61411909,0,0.384164986
Maison Familiale Rurale de Saint-Projet - Saint-Constant,Autre,Charente,45.7398061,0.35748434,0,0.384164986
École des courses hippiques AFASEC - Campus de Mont-de-Marsan,École,Landes,43.91848513,-0.50304074,0,0.384141418
Lycée agricole et forestier du Campus de Mirecourt,Lycée,Vosges,48.29241015,6.13085281,0,0.383430683
Maison Familiale Rurale de Saint-Dié / la Porte d'Alsace,Autre,Vosges,48.34095316,7.1051304,0,0.383430683
Maison Familiale Rurale de Bulgneville,Autre,Vosges,48.20678763,5.83820136,0,0.383430683
Maison Familiale Rurale de Saulxures,Autre,Vosges,47.94935968,6.79011248,0,0.383430683
Ecole secondaire privée Bienheureux Frassati,École,Vosges,48.22354163,5.89084509,0,0.383430683
Lycée Polyvalent privé Bienheureux Frassati,Lycée,Vosges,48.22354163,5.89084509,0,0.383430683
Lycée général Michelet,Lycée,Hautes-Pyrénées,43.12678115,0.38669037,0,0.383146743
Ecole primaire privée Saint Joseph,École,Hautes-Pyrénées,43.1019832,0.44014999,0,0.383146743
Institut Européen de Formation des Compagnons du Tour de France,Autre,Jura,46.97598369,5.79697955,0,0.383069674
Maison Familiale Rurale de Salins-les-Bains,Autre,Jura,46.93011387,5.89951978,0,0.383069674
Maison Familiale Rurale d'Amange,Autre,Jura,47.16599631,5.56598043,0,0.383069674
Lycée agricole Agro Campus des 2 vallées,Lycée,Loir-et-Cher,47.79255588,1.06534946,0,0.382453421
Lycée professionnel agricole Agro Campus des 2 vallées,Lycée,Loir-et-Cher,47.75025899,0.87611066,0,0.382453421
